year,rank,title,artist,lyrics_raw,lyrics_url,total,ttr,entropy,hhi,max_p
1962,1,Stranger on the Shore,Acker Bilk,no lyrics,,2,1.0,0.6931471805579453,0.5,0.5
1962,2,I Can't Stop Loving You,Ray Charles,"(I can't stop loving you)
I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)
It's useless to say
So I'll just live my life in dreams of yesterdays
(Dreams of yesterday)

Those happy hours that we once knew
Though long ago, they still make me blue
They say that time heals a broken heart
But time has stood still since we've been apart

(I can't stop loving you)
I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)
It's useless to say
So I'll just live my life in dreams of yesterdays

(Those happy hours) Those happy hours
(That we once knew) That we once knew
(Though long ago) Though long ago
(They still make me blue) They still make me blue
(They say that time) They say that time
(Heals a broken heart) Heals a broken heart
(But time has stood still) Time has stood still
(Since we've been apart) Since we've been apart

(I can't stop loving you)
I said I've made up my mind
To live in memories of the lonesome times
Sing the song to me
(I can't stop wanting you)
It's useless to say
So I'll just live my life of dreams of yesterdays
(Of yesterdays)",,151,0.3443708609271523,3.8305907623474296,0.024428753124862968,0.046357615894039736
1962,3,Mashed Potato Time,Dee Dee Sharp,"It's the latest, it's the greatest
Mashed Potato, ya, ya ,ya

A Mashed Potato started long time ago
With a guy named Sloppy Joe
You'll find this dance is so cool to do
Come on baby, gonna teach it to you

Mashed Potato, get up to the beat now
Mashed Potato, come on and twist your feet now
Baby, come on honey, come on baby

And then this dance just grew and grew
They look for records they can do it to
They found this dance was outta sight
Doin' the lion sleeps tonight

Mashed Potato, Ya a weem o wep a weem o wep
Mashed Potato, ya, ya, ya, ya
It's the latest, aw baby
It's the greatest, come on honey
Ya, ya ya, ya

Now everybody is doin' fine
They dance alone for a bit more time
Then they discovered it's the most, man
The day they did it to Please Mr. Postman

Mashed Potato, wait a minute, wait a minute
Mashed Potato, deliver de letter
It's the latest, come on baby
It's the greatest, oh honey
Ya, ya, ya, ya

Well they got with it more and more
Ya ought to see 'em around the floor
The Mashed Potato took a long, long list
They even do it to Dear Lady Twist

Mashed Potato, ya, ya, ya, ya
It's the latest, come on baby
It's the greatest, oh honey
Mashed potato, feel the groovy beat now",,239,0.39748953974895396,4.065307932051643,0.02757304669035903,0.08786610878661087
1962,4,Roses Are Red (My Love),Bobby Vinton,"Roses are red, my love
Du-du-du-du

A long, long time ago
On graduation day
You handed me your book
I signed this way

Roses are red, my love
Violets are blue
Sugar is sweet, my love
But not as sweet as you

We dated through high school
And when the big day came
I wrote into your book
Next to my name

Roses are red, my love
Violets are blue
Sugar is sweet, my love
But not as sweet as you

Then I went far away
And you found someone new
I read your letter dear
And I wrote back to you

Roses are red, my love
Violets are blue
Sugar is sweet, my love
But luck may God bless you

Is that your little girl?
She looks a lot like you
Someday some boy will write
In her book, too

Roses are red, my love
Violets are blue
Sugar is sweet, my love
But not as sweet as you
Roses are red, my love
Violets are blue
Sugar is sweet, my love
But not as sweet as you",,182,0.41208791208791207,3.8776086284714872,0.02964617799782629,0.06593406593406594
1962,5,The Stripper,David Rose,no lyrics,,2,1.0,0.6931471805579453,0.5,0.5
1963,1,Surfin' U.S.A.,The Beach Boys,"If everybody had an ocean
Across the U.S.A
Then everybody'd be surfin'
Like Californi-a
You'd see them wearing their baggies
Huarache sandals too
A bushy bushy blond hairdo
Surfin' U.S.A

You'd catch 'em surfin' at Del Mar
(Inside, outside, U.S.A.)
Ventura County line
(Inside, outside, U.S.A.)
Santa Cruz and Trestles
(Inside, outside, U.S.A.)
Australia's Narrabeen
(Inside, outside, U.S.A.)
All over Manhattan
(Inside, outside, U.S.A.)
And down Doheny Way
(Inside, outside)

Everybody's gone surfin'
Surfin' U.S.A

We'll all be planning that route
We're gonna take real soon
We're waxing down our surfboards
We can't wait for June
We'll all be gone for the summer
We're on surfari to stay
Tell the teacher we're surfin'
Surfin' U.S.A

Haggerties and Swamis
(Inside, outside, U.S.A.)
Pacific Palisades
(Inside, outside, U.S.A.)
San Onofre and Sunset
(Inside, outside, U.S.A.)
Redondo Beach LA
(Inside, outside, U.S.A.)
All over La Jolla
(Inside, outside, U.S.A.)
At Wa'imea Bay
(Inside, outside)

Everybody's gone surfin'
Surfin' U.S.A

Everybody's gone surfin'
Surfin' U.S.A

Everybody's gone surfin'
Surfin' U.S.A

Yeah everybody's gone surfin'
Surfin' U.S.A

Yeah everybody's gone surfin'
Surfin' U.S.A",,163,0.5398773006134969,4.025239155221392,0.031126500809213774,0.10429447852760736
1963,2,The End of the World,Skeeter Davis,"Why does the sun go on shining?
Why does the sea rush to shore?
Don't they know it's the end of the world?
'Cause you don't love me any more

Why do the birds go on singing?
Why do the stars glow above?
Don't they know it's the end of the world?
It ended when I lost your love

I wake up in the morning and I wonder
Why everything's the same as it was
I can't understand, no, I can't understand
How life goes on the way it does

Why does my heart go on beating?
Why do these eyes of mine cry?
Don't they know it's the end of the world?
It ended when you said goodbye

Why does my heart go on beating?
Why do these eyes of mine cry?
Don't they know it's the end of the world?
It ended when you said goodbye",,148,0.41216216216216217,3.7708479452268135,0.0324141709276844,0.10135135135135136
1963,3,Rhythm of the Rain,The Cascades,"Listen to the rhythm of the falling rain
Telling me just what a fool I've been
I wish that it would go and let me cry in vain
And let me be alone again

The only girl I care about has gone away
Looking for a brand new start
But little does she know that when she left that day
Along with her she took my heart

Rain please tell me now does that seem fair
For her to steal my heart away when she don't care?
I can't love another when my hearts somewhere far away

The only girl I care about has gone away
Looking for a brand new start
But little does she know that when she left that day
Along with her she took my heart

Rain won't you tell her that I love her so
Please ask the sun to set her heart aglow
Rain in her heart and let the love we knew start to grow

Listen to the rhythm of the falling rain
Telling me just what a fool I've been
I wish that it would go and let me cry in vain
And let me be alone again

Oh, listen to the falling rain
Pitter patter, pitter patter
Oh, oh, oh, listen to the falling rain
Pitter patter, pitter patter",,218,0.3623853211009174,4.162760013200132,0.01885363184917095,0.045871559633027525
1963,4,He's So Fine,The Chiffons,"(Do-lang-do-lang-do-lang)
(Do-lang-do-lang)
He's so fine
(Do-lang-do-lang-do-lang)
Wish he were mine
(Do-lang-do-lang-do-lang)
That handsome boy over there
(Do-lang-do-lang-do-lang)
The one with the wavy hair
(Do-lang-do-lang-do-lang)
I don't know how I'm gonna do it
(Do-lang-do-lang-do-lang)
But, I'm gonna make him mine
(Do-lang-do-lang-do-lang)
He's the envy of all the girls
(Do-lang-do-lang-do-lang)
It's just a matter of time
(Do-lang-do-lang)

He's a soft-spoken guy
(Do-lang-do-lang-do-lang)
Also, seems kinda shy
(Do-lang-do-lang-do-lang)
Makes me wonder if I
(Do-lang-do-lang-do-lang)
Should even give him a try?
(Do-lang-do-lang-do-lang)
But then I know he can't shy
(Do-lang-do-lang-do-lang)
He can't shy away forever
(Do-lang-do-lang-do-lang)
And, I'm gonna make him mine
(Do-lang-do-lang-do-lang)
If it takes me forever
(Do-lang-do-lang)

He's so fine
(Oh, yeah)
Gotta be mine
(Oh, yeah)
Sooner or later
(Oh, yeah)
I hope it's not later
(Oh, yeah)
We got to get together
(Oh, yeah)
The sooner, the better
(Oh, yeah)
I just can't wait
I just can't wait
To be held in his arms

If I were a queen
(Do-lang-do-lang-do-lang)
And, he asked me to leave my throne
(Do-lang-do-lang-do-lang)
I'd do anything that he asked
(Do-lang-do-lang-do-lang)
Anything to make him my own
(Do-lang-do-lang-do-lang)

For he's so fine
(So fine)
So fine
(So fine)
So fine
(So fine)
So fine
(So fine)
So fine
(So fine)
Oh, yeah
(So fine)
So fine",,166,0.5180722891566265,4.20626211566865,0.01930614022354477,0.04819277108433735
1963,5,Blue Velvet,Bobby Vinton,"(Blue velvet)

She wore blue velvet
Bluer than velvet was the night
Softer than satin was the light
From the stars

She wore blue velvet
Bluer than velvet were her eyes
Warmer than May, her tender sighs
Love was ours

Ours, a love I held tightly
Feeling the rapture grow
Like a flame burning brightly
But when she left gone was the glow of

Blue velvet
But in my heart there'll always be
Precious and warm a memory through the years
And I still can see blue velvet through my tears

She wore blue velvet
But in my heart there'll always be
Precious and warm a memory through the years
And I still can see blue velvet through my tears

(Blue velvet, ooh)",,118,0.4745762711864407,3.8106997342350697,0.027434645216891717,0.06779661016949153
1964,1,I Want to Hold Your Hand,The Beatles,"Oh, yeah, I'll tell you something
I think you'll understand
When I'll say that something
I wanna hold your hand

I wanna hold your hand
I wanna hold your hand

Oh, please, say to me
You'll let me be your man
And please, say to me
You'll let me hold your hand

Now let me hold your hand
I wanna hold your hand

And when I touch you
I feel happy inside
It's such a feeling that, my love
I can't hide
I can't hide
I can't hide

Yeah, you
Got that something
I think you'll understand
When I'll
Say that something
I want to hold your hand

I wanna hold your hand
I wanna hold your hand

And when I touch you
I feel happy inside
It's such a feeling that, my love
I can't hide
I can't hide
I can't hide

Yeah, you
Got that something
I think you'll understand
When I'll
Feel that something
I wanna hold your hand

I wanna hold your hand
I wanna hold your hand
I wanna hold your hand",,177,0.21468926553672316,3.282600398498803,0.05193271409875836,0.13559322033898305
