year,rank,title,artist,qkey,a0,t0,total,ttr,entropy,hhi,max_p,bow_tid,match_score,artist_mxm,title_mxm
1991,9,The First Time,Surface,the first time surface,s,the,232,0.3879310344827586,3.98150117662,0.029206302021403115,0.08189655172413793,TROXWMC128F426501F,100.0,Surface,The First Time
1991,12,Because I Love You (The Postman Song),Stevie B,because i love you the postman song stevie b,s,because,142,0.43661971830985913,3.7564315912683326,0.03471533425907562,0.09154929577464789,TRJFRKL12903CF684C,100.0,Stevie B.,Because I Love You (The Postman Song)
1991,16,All the Man That I Need,Whitney Houston,all the man that i need whitney houston,w,all,191,0.3298429319371728,3.6907587451879,0.03725226830404877,0.1099476439790576,TRATJPX12903CF0409,100.0,Whitney Houston,All the Man That I Need
1991,17,"Right Here, Right Now",Jesus Jones,right here right now jesus jones,j,right,204,0.3137254901960784,3.717990834458909,0.0344098423683199,0.08823529411764706,TRJGLLF12903CAC759,100.0,Jesus Jones,Right Here Right Now
1991,27,You're in Love,Wilson Phillips,you're in love wilson phillips,w,you're,306,0.2777777777777778,3.9087419403530097,0.031013712674612306,0.08496732026143791,TRBOGEC128F425D9AD,100.0,Wilson Phillips,You're in Love
1991,31,I've Been Thinking About You,Londonbeat,i've been thinking about you londonbeat,l,i've,227,0.3039647577092511,3.509062779681405,0.05272759028896356,0.1277533039647577,TRSSZGF128F42910AF,100.0,Londonbeat,I've Been Thinking About You
1991,37,Where Does My Heart Beat Now,Celine Dion,where does my heart beat now celine dion,c,where,260,0.4076923076923077,4.241293270849196,0.02195266272189346,0.06538461538461539,TRGHYVB128F92EB230,97.5,Céline Dion,Where Does My Heart Beat Now
1991,38,Summertime,DJ Jazzy Jeff & The Fresh Prince,summertime dj jazzy jeff and the fresh prince,d,summertime,531,0.4011299435028249,4.734702862594461,0.017034270697011262,0.06779661016949153,TRJBTWT128F425E0EA,100.0,DJ Jazzy Jeff & The Fresh Prince,Summertime
1991,39,Wind of Change,Scorpions,wind of change scorpions,s,wind,239,0.34309623430962344,3.8299393830616606,0.039267519826333676,0.13389121338912133,TRCZIUO12903CE5274,100.0,Scorpions,Wind of Change
1991,41,The Promise of a New Day,Paula Abdul,the promise of a new day paula abdul,p,the,447,0.17002237136465326,3.6510546911750694,0.04808091727599853,0.12751677852348994,TRDYSKW128F145852A,100.0,Paula Abdul,The Promise of a New Day
1991,45,This House,Tracie Spencer,this house tracie spencer,t,this,372,0.260752688172043,4.1074509120062475,0.02647704936986931,0.0913978494623656,TRKYEVK128F4294E55,100.0,Tracie Spencer,This House
1991,49,Love Is a Wonderful Thing,Michael Bolton,love is a wonderful thing michael bolton,m,love,305,0.32459016393442625,4.077708383199102,0.027766729373824246,0.08196721311475409,TRPPOYF128F93421C3,100.0,Michael Bolton,Love Is a Wonderful Thing
1991,50,Rhythm of My Heart,Rod Stewart,rhythm of my heart rod stewart,r,rhythm,256,0.38671875,4.221495198518768,0.0220947265625,0.0703125,TRHERRW128F425AE6E,83.72093023255815,Runrig,Rhythm of My Heart
1991,52,I Touch Myself,Divinyls,i touch myself divinyls,d,i,329,0.19148936170212766,3.350295348822905,0.06322003676980069,0.18541033434650456,TRBPKZQ128F145850B,100.0,Divinyls,I Touch Myself
1991,55,Something to Talk About,Bonnie Raitt,something to talk about bonnie raitt,b,something,301,0.3388704318936877,4.0658471159994045,0.028730367214489863,0.07973421926910298,TRUURUQ128E07990A3,100.0,Bonnie Raitt,Something to Talk About
1991,58,Temptation,Corina,temptation corina,c,temptation,252,0.42063492063492064,4.330943550796361,0.01877047115142354,0.051587301587301584,TRQXDLR128F4241385,100.0,Corina,Temptation
1991,60,I Can't Wait Another Minute,Hi-Five,i can't wait another minute hi five,h,i,463,0.19654427645788336,3.874735192088622,0.03454324086038561,0.11231101511879049,TRQIAWV128F4290C30,100.0,Hi-Five,I Can't Wait Another Minute
